"departement","annee","nb_nouveaux_exploitants"
"56",2019,63
"56",2020,68
"56",2021,70
"56",2022,75
"56",2023,65
"56",2024,60
"57",2010,20
"57",2011,9
"57",2012,5
"57",2013,3
"57",2014,5
"57",2015,17
"57",2016,33
"57",2017,16
"57",2018,19
"57",2019,17
"57",2020,38
"57",2021,34
"57",2022,18
"57",2023,21
"57",2024,17
"58",2010,14
"58",2011,4
"58",2012,6
"58",2013,3
"58",2014,6
"58",2015,13
"58",2016,21
"58",2017,21
"58",2018,17
"58",2019,28
"58",2020,39
"58",2021,34
"58",2022,22
"58",2023,19
"58",2024,16
"59",2010,19
"59",2011,14
"59",2012,10
"59",2013,9
"59",2014,13
"59",2015,24
"59",2016,35
"59",2017,28
"59",2018,34
"59",2019,39
"59",2020,43
"59",2021,33
"59",2022,22
"59",2023,16
"59",2024,19
"60",2010,10
"60",2011,4
"60",2012,5
"60",2013,2
"60",2014,2
"60",2015,4
"60",2016,12
"60",2017,7
"60",2018,25
"60",2019,24
"60",2020,27
"60",2021,17
"60",2022,10
"60",2023,5
"60",2024,7
"61",2010,27
"61",2011,18
"61",2012,10
"61",2013,11
"61",2014,6
"61",2015,20
"61",2016,34
"61",2017,36
"61",2018,24
"61",2019,36
"61",2020,29
"61",2021,41
"61",2022,35
"61",2023,22
"61",2024,30
"62",2010,11
"62",2011,5
"62",2012,8
"62",2013,5
"62",2014,3
"62",2015,9
"62",2016,15
"62",2017,29
"62",2018,21
"62",2019,32
"62",2020,22
"62",2021,31
"62",2022,12
"62",2023,10
"62",2024,12
"63",2010,25
"63",2011,17
"63",2012,12
"63",2013,12
"63",2014,10
"63",2015,27
"63",2016,55
"63",2017,42
"63",2018,48
"63",2019,46
"63",2020,49
"63",2021,51
"63",2022,48
"63",2023,49
"63",2024,51
"64",2010,25
"64",2011,12
"64",2012,16
"64",2013,11
"64",2014,16
"64",2015,31
"64",2016,42
"64",2017,50
"64",2018,67
"64",2019,64
"64",2020,68
"64",2021,100
"64",2022,67
"64",2023,83
"64",2024,88
"65",2010,13
"65",2011,6
"65",2012,6
"65",2013,1
"65",2014,1
"65",2015,31
"65",2016,23
"65",2017,20
"65",2018,45
"65",2019,33
"65",2020,33
"65",2021,44
"65",2022,32
"65",2023,78
"65",2024,109
"66",2010,38
"66",2011,32
"66",2012,19
"66",2013,18
"66",2014,16
"66",2015,45
"66",2016,36
"66",2017,48
"66",2018,75
"66",2019,100
"66",2020,71
"66",2021,71
"66",2022,55
"66",2023,67
"66",2024,67
"67",2010,25
"67",2011,12
"67",2012,10
"67",2013,9
"67",2014,11
"67",2015,20
"67",2016,21
"67",2017,29
"67",2018,47
"67",2019,76
"67",2020,89
"67",2021,64
"67",2022,20
"67",2023,11
"67",2024,18
"68",2010,20
"68",2011,25
"68",2012,8
"68",2013,15
"68",2014,7
"68",2015,15
"68",2016,54
"68",2017,33
"68",2018,42
"68",2019,48
"68",2020,85
"68",2021,59
"68",2022,24
"68",2023,23
"68",2024,19
"69",2010,18
"69",2011,14
"69",2012,18
"69",2013,16
